2020-07-22 16:50:51 _internal.py [line:113] INFO:  * Restarting with stat
2020-07-22 16:53:17 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '103.139.103.33', 'port': '3129', 'protocol_type': 2, 'anonymous_type': 0, 'idle': 1.99, 'area': 'SSL高匿_亚太地区', 'score': 50, 'disable_domains': []}
2020-07-22 16:53:18 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '45.15.17.136', 'port': '8118', 'protocol_type': 0, 'anonymous_type': 2, 'idle': 0.78, 'area': 'SSL高匿_欧盟', 'score': 50, 'disable_domains': []}
2020-07-22 16:53:18 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '180.114.165.149', 'port': '8118', 'protocol_type': 0, 'anonymous_type': 2, 'idle': 0.58, 'area': '江苏省无锡市', 'score': 50, 'disable_domains': []}
2020-07-22 16:53:19 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '103.139.103.33', 'port': '3129', 'protocol_type': 2, 'anonymous_type': 0, 'idle': 2.47, 'area': 'SSL高匿_亚太地区', 'score': 50, 'disable_domains': []}
2020-07-22 16:53:20 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '171.11.29.54', 'port': '9999', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': '河南省商丘市  电信', 'score': 40, 'disable_domains': []}
2020-07-22 16:53:20 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '107.182.235.6', 'port': '3128', 'protocol_type': 2, 'anonymous_type': 2, 'idle': 1.92, 'area': 'SSL高匿_北美地区', 'score': 50, 'disable_domains': []}
2020-07-22 16:53:21 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '171.11.29.54', 'port': '9999', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': '河南省商丘市  电信', 'score': 40, 'disable_domains': []}
2020-07-22 16:53:23 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '107.182.235.6', 'port': '3128', 'protocol_type': 2, 'anonymous_type': 2, 'idle': 2.74, 'area': 'SSL高匿_北美地区', 'score': 50, 'disable_domains': []}
2020-07-22 16:53:25 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '217.165.93.149', 'port': '53281', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': '阿联酋', 'score': 42, 'disable_domains': []}
2020-07-22 16:53:25 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '103.151.47.244', 'port': '8080', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': 'SSL高匿_亚太地区', 'score': 40, 'disable_domains': []}
2020-07-22 16:53:25 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '45.15.16.205', 'port': '8118', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': '高匿_欧盟', 'score': 40, 'disable_domains': []}
2020-07-22 16:53:25 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '51.158.22.114', 'port': '5836', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': '英国', 'score': 45, 'disable_domains': []}
2020-07-22 16:53:25 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '151.106.52.29', 'port': '5836', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': '美国', 'score': 46, 'disable_domains': []}
2020-07-22 16:53:25 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '83.10.75.30', 'port': '8080', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': '美国', 'score': 40, 'disable_domains': []}
2020-07-22 16:53:25 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '45.80.104.45', 'port': '8085', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': '高匿_欧盟', 'score': 41, 'disable_domains': []}
2020-07-22 16:53:25 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '45.80.104.13', 'port': '8085', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': '高匿_欧盟', 'score': 44, 'disable_domains': []}
2020-07-22 16:53:25 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '45.80.104.55', 'port': '8085', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': '高匿_欧盟', 'score': 40, 'disable_domains': []}
2020-07-22 16:53:25 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '27.113.241.87', 'port': '8080', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': '澳大利亚', 'score': 40, 'disable_domains': []}
